name,start_date,end_date,place,description,recurring
Fiesta de Ch'utillos,2026-08-21,2026-08-23,Casa Nacional de la Moneda,,yearly
Carnaval Minero de Potosí,2027-02-13,2027-02-16,Cerro Rico de Potosí,,yearly
